<PCA>								
<ID>	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
DB088	2.3984876	-3.7081697	0.73010623	-0.59721273	-0.14810401	5.9144635	-4.892739	-6.348547
DB089	2.883663	-3.86382	0.27641723	-0.17854808	-0.10955345	7.358366	-5.7309904	-6.7584805
DB090	-23.706419	5.6532364	-3.5755534	2.715393	1.6684464	-4.166011	2.6484034	-0.6051901
DB091	-9.201675	1.5567359	-1.1828719	0.6578641	0.89886713	0.047646392	0.08637751	-5.15984
DB092	-19.420702	4.665632	-3.204137	2.3133159	1.5081723	-2.546034	1.941795	-3.056923
DB093	-5.4435453	-0.15457919	0.37214503	-0.29465696	0.539604	1.5756818	-0.622882	-5.327813
DP009	-16.34319	1.9966009	-2.5892022	2.992675	-0.8977258	3.5632808	-3.3239782	-0.43438888
DP012	-15.51915	1.5573858	-2.5983176	3.1411347	-0.8283877	3.393657	-3.479602	-0.83124715
DP027	-10.218517	0.29090074	-1.585216	2.113138	-0.32705835	3.0784347	-1.4122044	-2.5832713
DP028	-26.599669	3.6303473	-5.2963195	7.275434	-1.2077073	1.9885048	-1.0973449	4.215682
DP029	-10.337881	0.6132741	1.6911908	-2.153824	0.49280798	2.9876	-2.0665305	-2.2405818
DP046	-19.901524	2.1462402	-5.8108225	7.468813	-0.491009	3.1670673	-3.0060952	1.4541059
DP048	-11.421132	1.6050903	-3.53588	3.8972006	-0.78941816	0.8176268	-0.84802306	6.2447696
DP051	-27.218699	5.0220704	-8.834794	10.197022	-1.2963015	-2.0869231	-0.5350019	21.60199
DP052	-30.205437	6.5330086	-8.508145	9.724481	-1.6799426	0.046648	-0.69345087	22.5225
DP053	-30.222078	5.35457	-8.884917	10.584574	-2.6932046	-0.38261324	-1.6536039	21.689306
DP054	-23.866037	5.557655	-4.6322317	3.6066656	0.68620545	-4.009324	1.8006473	8.411904
DP055	-29.701662	6.848579	-6.0939207	6.823047	-0.013682031	-4.260377	1.3158389	27.310421
DP056	-29.552988	7.0973887	-6.1607084	7.2083726	0.15094152	-4.4590364	1.6961403	27.21177
DP057	-29.860846	7.15058	-6.196027	6.943331	-0.48912856	-3.5809755	1.2417345	27.534277
DP059	-20.944752	4.938943	-4.1846824	4.836017	0.2817031	-1.2510625	0.7459176	17.604156
DP060	-29.529789	7.3740726	-5.915398	6.5920343	-0.19634415	-4.6417375	1.846224	27.276875
DP061	-29.896719	7.5633335	-5.8129845	6.454923	-0.26748398	-4.840681	2.1087918	27.848557
DP062	-29.19033	6.1517816	-7.4669104	7.964873	-1.368986	-2.131008	0.36366403	20.170874
DP079	-27.593119	4.8646474	-7.0792103	5.8215218	0.41147068	-8.320363	2.2694595	-4.318861
DP080	-31.71845	5.5516376	-5.6087174	3.8433397	0.4417399	-9.475595	3.8235314	-4.885642
DP081	-31.030073	7.1682262	-4.406375	1.4770969	0.4769676	-12.201906	4.061456	-6.568977
DP083	-31.520828	5.9731054	-4.989831	2.6915953	0.92829955	-10.658182	4.3890753	-3.8999438
DP084	-14.826298	2.0431974	-1.7452887	1.3278927	0.6001344	-3.8481023	0.8730969	-6.049395
DP085	-29.561909	6.366162	-4.1404347	1.7065626	-0.38900733	-10.087739	2.0550125	-10.25811
DP086	-22.31217	3.2005873	-4.8666654	4.9041996	-2.7001112	-5.531078	-2.3420072	-9.971489
DP087	-7.786305	2.0238962	1.0734085	3.7446344	-1.8115293	-3.763481	1.6386395	-2.8775532
DP090	-22.640444	3.6007004	-3.044989	3.721569	-1.3848624	-5.956013	-1.3555622	-9.303141
DP091	-20.909338	3.142953	-2.9382246	3.5782335	-1.4246757	-5.0348687	-1.5943105	-9.439497
DP092	-21.636023	0.84451306	1.4319094	6.753663	-7.640508	-15.9439745	-6.5347557	-8.94721
DP093	-16.958136	-2.0612411	6.420366	4.796294	-8.924697	-14.765844	-8.46374	-4.871729
DP094	-7.263284	-6.306358	7.8752093	4.98168	-9.617627	-9.420177	-9.684613	-3.1571748
DP095	-12.370843	-8.971847	14.632853	6.8712463	-14.525107	-20.76746	-13.415639	-1.6338022
DP097	-17.582092	2.464431	-3.057729	3.356324	-1.2976445	-4.400847	-0.55865985	-8.054396
DP106	-1.3655937	-3.2557611	4.632107	6.6248155	-1.5867374	-2.9586008	6.206152	-2.621844
