<Trait>	Daidzein	Glycitein	Genistein	Daidzin	Glycitin	Genistin	Malonyl_daidzin	Malonyl_glycitin	Malonyl_genistin	Acetyl_daidzin	Acetyl_genistin	Total_isoflavone
H12	4.89	12.76	9.04	197.52	52.37	352.91	526.16	111.42	931.76	96.72	2.1	2297.64
H13	7.22	10.2	10.22	227.09	91.17	342.14	534.96	170	773.76	81	2.77	2250.53
H14	5.01	10.16	6.34	203.86	59.05	277.78	581.42	139.87	759.89	81.08	1.66	2126.12
H15	3.43	11.98	9.28	153.14	59.32	320.32	454.6	127.64	872.86	96.09	2.91	2111.57
H17	6.82	12.15	7.94	290.2	115.27	335.8	779.24	235.61	884.7	96.89	3.37	2767.99
H18	2.4	12.47	6.17	139.78	38.86	268.31	437.8	90.36	783.43	79.83	1.69	1861.12
H19	6.9	13.45	7.98	344.68	82.87	388.41	913.44	179.4	1019.59	111.04	2.39	3070.15
H2	7.33	12.33	6.42	314.17	179.97	322.24	868.1	349.78	871.78	101.08	4.49	3037.68
H20	3.06	12.7	7.37	163.3	34.41	315.4	474.47	120.81	840.71	86.78	1.92	2060.93
H23	5.83	16.07	7.35	332.68	69.08	431.15	910.7	146.79	1162.35	124.62	2.48	3209.12
H24	4.22	12.17	8.08	162.45	41.18	315.09	422.95	82.73	791.08	81.81	1.72	1923.47
H25	4.38	12.57	7.34	167.12	41.28	314.57	413.08	85.65	796.19	79.91	1.76	1923.83
H25_165	3.03	10.92	5.72	192.01	36.62	300.05	589.78	71.86	890.96	94.46	1.55	2196.98
H25_78	2.49	12.59	5.18	122.82	25.15	282.75	421.72	72.11	872.63	91.25	1.43	1910.12
H27	6.24	13.64	8.67	272.88	116.67	349.35	731.41	255.01	906.11	96.16	3.56	2759.7
H28	2.55	10.86	5.05	138.74	52.57	262.17	432.89	115.21	723.19	77.53	1.98	1822.73
H29	4.4	13.6	7.52	188.58	56.71	370.88	527.97	116.34	1019.76	104.55	2.42	2412.74
H3	2.4	11.84	5.03	138.38	43.62	254.6	444.51	102.35	785.17	81.02	1.26	1870.18
H30	4	16.02	10.59	208.48	70.24	430.96	574.71	153.6	1172.03	122.81	2.66	2766.1
H31	4.64	13.79	8.25	249.51	230.11	405.7	736.09	456.05	1071.02	122	4.56	3301.72
H33	2.63	11.08	6.37	125.17	51.63	257.21	386.91	112.64	740.49	79.36	1.94	1775.42
H34	3.64	13.88	8.3	201.43	63.5	334.4	623.81	154.44	1028.01	105.59	2.71	2539.71
H36	1.33	11.38	3.42	88.15	20.83	218.59	311.83	39.34	712.74	71.9	1.31	1480.83
H37	4.6	16.34	6.09	343.17	102.71	383.4	1188.6	234.03	1321.85	145.97	2.34	3749.11
H38	5.74	17.02	9.57	380.49	121.36	422.15	1218.6	258.85	1345.53	148.07	2.59	3929.97
H39	3.38	13.06	6.94	164.27	41.54	321.76	501.71	93.56	951.84	97.55	1.56	2197.17
H4	3.01	12.58	6.3	143.78	44.45	276.56	435.5	100.95	786.16	79.98	1.39	1890.66
H40	4.44	15.65	9.28	233.87	46.77	426.68	793.97	117.99	1343.3	134.58	1.83	3128.36
H41	3.01	12.75	6.37	172.41	73.47	301.43	546.98	172.14	884.83	93.2	2.25	2268.84
