<Trait>	Daidzein	Glycitein	Genistein	Daidzin	Glycitin	Genistin	Malonyl_daidzin	Malonyl_glycitin	Malonyl_genistin	Acetyl_daidzin	Acetyl_genistin	Total_isoflavone
5237	1.02	12.31	6.45	87.08	54.61	241.94	253.05	96.42	731.86	73.29	0.00	1558.03
94Seori	3.40	14.05	5.66	258.77	66.32	384.86	661.80	111.66	1063.94	106.98	0.00	2677.46
Bangsa	2.57	0.36	2.87	97.85	57.99	141.66	578.31	150.49	642.74	73.45	0.72	1749.02
Bangsa25	2.52	0.41	4.00	74.55	58.31	91.15	343.70	135.71	413.61	47.77	2.00	1173.73
Bangsa63	4.03	0.85	4.69	72.40	53.76	90.28	336.53	120.73	390.09	47.74	2.10	1123.20
Bangsa73	1.47	0.70	1.87	71.70	52.95	88.93	372.39	130.01	427.86	50.37	1.04	1199.30
Bangsa74	1.53	0.76	2.50	59.18	45.82	81.83	315.17	114.42	375.88	45.80	1.65	1044.53
Bangsa84	3.32	0.77	4.88	81.52	60.18	95.42	379.60	132.19	428.53	51.44	2.17	1240.01
DB003	1.37	0.89	2.11	135.84	58.18	164.59	571.36	141.48	696.20	66.22	0.45	1838.67
DB004	4.23	4.40	5.58	124.77	59.91	154.77	491.53	130.18	678.45	63.36	1.64	1718.84
DB005	2.10	1.55	5.20	90.97	45.73	238.59	484.71	114.13	1165.84	112.34	0.54	2261.70
DB006	1.24	2.10	1.04	39.06	31.98	68.66	192.75	72.24	344.40	35.01	0.00	788.48
DB007	3.91	2.58	10.99	79.66	60.96	173.25	292.34	122.28	696.60	63.80	0.00	1506.37
DB008	1.92	1.37	5.31	114.44	80.52	304.15	515.07	176.22	1252.73	120.19	0.83	2572.75
DB009	0.76	1.96	2.28	52.81	43.92	116.95	276.60	102.54	606.01	60.55	0.00	1264.39
DB010	0.48	1.39	3.41	64.14	52.42	166.63	325.58	122.57	840.19	78.08	0.00	1654.89
DB016	4.95	1.99	7.44	366.02	104.84	409.39	1339.57	230.95	1541.47	140.23	0.86	4147.71
DB019	11.68	2.15	5.36	205.97	70.28	194.93	957.46	188.11	852.92	83.81	3.80	2576.48
DB024	4.03	1.94	3.97	185.07	100.83	204.18	809.09	228.71	876.29	83.70	3.38	2501.18
DB026	3.47	1.77	6.09	241.74	175.41	383.35	933.50	358.73	1419.53	131.61	2.85	3658.05
DB027	4.30	0.91	7.04	160.23	97.37	280.47	766.46	239.92	1222.33	118.63	2.59	2900.25
DB029	3.63	1.73	4.69	236.50	77.25	229.22	913.95	197.97	1026.74	95.76	4.27	2791.71
DB030	4.91	2.25	6.67	447.06	87.90	458.30	1757.39	230.47	1773.32	161.57	3.54	4933.39
DB031	6.07	1.06	6.81	256.20	80.20	317.69	859.86	176.41	1161.58	104.35	6.46	2976.69
DB033	6.76	0.76	8.97	271.25	84.70	252.68	976.05	209.03	981.82	96.68	1.10	2889.79
DB034	32.50	9.77	29.98	469.70	107.74	475.45	575.39	130.03	587.34	60.60	4.51	2483.02
DB035	4.42	1.28	5.97	328.32	86.49	339.02	1295.60	242.18	1371.71	126.55	6.41	3807.94
DB036	2.18	1.43	2.97	89.30	96.44	169.20	465.69	261.42	695.86	73.00	1.70	1859.17
DB037	1.96	0.77	3.06	97.97	119.33	165.05	481.97	295.13	629.52	67.28	1.52	1863.57
DB038	3.63	1.21	5.74	46.41	96.02	95.84	230.40	228.13	334.33	45.30	3.77	1090.78
DB039	3.15	2.96	5.76	191.31	139.17	322.87	797.67	339.98	1189.10	116.15	2.41	3110.53
DB040	1.55	1.14	1.79	62.86	90.81	116.58	320.28	230.68	485.44	54.56	1.86	1367.54
DB041	1.62	1.40	2.46	79.71	95.62	159.47	392.77	236.44	653.35	70.81	1.81	1695.46
DB044	0.90	3.15	3.90	225.48	136.97	328.58	843.85	319.12	1265.06	124.95	3.13	3255.08
DB045	5.77	18.31	10.11	341.19	148.84	558.89	908.77	302.38	1466.86	147.36	2.42	3910.88
DB046	2.92	1.16	10.42	208.86	155.06	376.70	1015.75	416.78	1604.95	155.41	2.28	3950.29
DB049	3.38	1.21	6.18	288.23	204.25	400.32	1212.90	525.59	1691.33	167.47	1.86	4502.72
DB050	2.47	2.05	3.68	119.22	114.50	261.18	655.71	314.79	1181.56	116.37	2.06	2773.59
DB051	1.92	1.67	3.80	143.51	105.19	253.92	714.88	271.35	1112.83	110.00	1.48	2720.54
DB054	5.24	1.72	10.32	166.74	125.29	228.34	719.28	287.57	930.09	95.21	2.59	2572.39
DB056	2.30	1.04	2.99	147.43	134.19	193.61	747.65	347.25	872.34	89.61	1.87	2540.28
DB059	2.46	1.17	2.96	102.10	82.26	153.18	489.33	225.09	676.60	68.61	7.27	1811.04
DB060	2.23	8.84	3.17	95.08	77.48	177.92	311.82	165.81	551.76	58.77	2.38	1455.26
DB061	5.04	1.34	8.57	166.85	120.81	224.67	623.89	283.92	885.11	86.47	3.62	2410.28
DB062	0.89	0.63	3.62	69.25	70.07	114.86	337.46	163.63	535.89	53.29	1.59	1351.18
DB063	2.07	0.67	3.72	36.18	53.00	79.49	184.97	113.39	282.66	34.59	2.11	792.84
DB064	0.71	0.77	3.47	33.82	40.53	78.96	224.23	122.78	392.00	37.37	1.45	936.09
DB065	5.68	0.90	8.56	120.45	123.13	223.61	443.78	239.85	709.51	67.77	3.18	1946.42
DB067	3.79	1.68	5.52	273.57	72.18	347.03	1008.11	181.40	1363.67	134.19	1.99	3393.13
DB068	3.48	0.94	3.42	200.79	78.10	211.75	916.99	232.07	789.53	77.54	1.24	2515.85
DB072	4.63	2.60	5.55	120.85	77.40	153.56	457.98	161.25	579.91	62.16	1.88	1627.75
DB073	2.73	1.98	2.41	56.69	53.01	65.16	229.75	108.70	221.88	30.28	2.79	775.37
DB074	3.80	1.40	6.10	197.35	89.14	317.52	835.45	193.16	1289.04	131.32	2.00	3066.27
DB076	2.56	2.49	2.71	136.52	60.49	205.94	581.29	129.60	845.84	86.05	1.83	2055.31
DB078	3.02	2.70	3.50	169.13	59.73	248.03	655.79	133.36	1092.44	102.71	0.00	2470.42
DB079	2.82	4.37	3.23	121.26	124.35	201.28	398.87	177.79	764.86	74.79	4.68	1878.30
DB080	5.60	1.53	4.77	254.44	72.66	287.17	1064.58	177.33	1179.81	118.19	1.28	3167.36
DB085	2.14	0.70	2.63	126.14	168.44	214.38	562.11	376.76	734.77	75.93	2.38	2266.39
DB086	2.88	2.14	4.64	202.76	160.38	335.93	879.68	384.61	1326.14	135.75	2.12	3437.02
DB087	5.04	4.12	9.21	290.67	79.17	544.23	886.45	152.27	1887.88	177.16	2.31	4038.51
DB088	4.80	3.75	8.85	348.84	110.99	596.78	1261.89	232.35	2295.43	217.18	2.89	5083.73
DB089	5.89	3.04	10.54	324.05	111.05	562.61	1170.89	218.23	2030.00	192.54	1.63	4630.49
DB090	3.07	3.61	3.14	127.60	174.66	236.99	529.53	366.76	855.89	93.68	3.58	2398.51
DB091	4.26	12.45	7.88	262.86	230.42	441.53	638.00	365.99	1083.04	114.43	4.15	3165.01
DB092	4.54	11.48	8.50	203.71	157.04	391.50	514.83	253.07	980.13	103.98	3.43	2632.21
DB093	2.06	1.26	3.44	156.37	211.58	248.41	632.30	452.56	891.11	94.49	2.85	2696.43
DP009	3.25	2.97	3.60	176.17	124.33	267.74	676.81	290.08	998.52	99.84	3.20	2646.50
DP012	3.05	3.07	3.14	185.52	137.10	286.26	705.93	298.10	1091.82	111.25	3.73	2828.98
DP027	1.52	1.54	2.97	125.18	99.30	219.74	511.11	221.89	809.87	87.64	1.66	2082.41
DP028	4.03	4.55	5.38	152.85	132.10	239.43	604.78	284.26	925.61	100.41	4.19	2457.59
