<Trait>	Daidzein	Glycitein	Genistein	Daidzin	Glycitin	Genistin	Malonyl_daidzin	Malonyl_glycitin	Malonyl_genistin	Acetyl_daidzin	Acetyl_genistin	Total_isoflavone
DP029	3.01	4.19	3.32	110.18	109.50	210.96	551.27	302.43	893.46	86.01	3.85	2278.18
DP046	4.34	4.86	5.70	185.57	106.87	322.96	705.81	247.05	1182.87	119.12	4.42	2889.59
DP048	1.58	2.15	4.05	112.43	139.89	225.50	485.12	291.79	830.82	83.42	1.32	2178.08
DP051	2.09	2.01	4.16	161.05	177.56	273.63	661.27	378.41	961.30	94.33	2.47	2718.28
DP052	1.88	1.82	3.29	129.83	127.06	212.30	538.34	275.08	792.09	82.15	2.36	2166.21
DP053	1.51	2.45	2.58	129.03	123.86	215.09	539.69	271.14	794.03	81.85	2.13	2163.37
DP054	5.00	3.63	6.89	350.01	245.97	485.76	1093.25	432.72	1500.18	152.09	2.93	4278.44
DP055	3.82	4.25	4.54	314.61	160.81	386.87	1051.61	304.69	1365.64	132.70	3.58	3733.12
DP056	4.11	3.73	4.17	292.15	211.19	350.76	925.96	392.66	1206.52	119.02	2.89	3513.17
DP057	3.96	2.00	5.75	207.95	132.73	300.05	658.36	264.21	1003.83	102.13	1.79	2682.75
DP059	5.65	4.04	6.48	171.74	146.69	295.77	598.56	279.28	999.53	97.14	3.07	2607.95
DP060	32.66	16.48	35.96	480.59	202.36	704.45	444.72	173.03	705.93	71.41	7.10	2874.69
DP061	5.61	1.75	8.51	186.63	125.91	276.42	601.20	236.55	897.15	88.31	1.83	2429.88
DP062	3.08	4.89	3.51	191.85	157.65	329.47	686.48	325.49	1203.50	128.04	3.70	3037.65
DP079	2.16	1.16	3.50	149.58	152.79	250.46	608.24	289.24	926.34	99.76	2.82	2486.05
DP080	5.40	3.03	6.67	275.05	234.48	397.94	869.51	422.41	1304.73	132.00	3.30	3654.50
DP081	2.45	1.67	3.92	253.89	155.30	329.78	888.14	317.83	1191.12	119.09	2.40	3265.60
DP083	4.48	2.17	6.12	304.79	170.21	395.40	1020.64	329.01	1421.12	148.57	2.49	3804.99
DP084	4.82	2.35	6.89	326.80	154.85	437.20	1107.98	320.54	1468.53	146.57	2.47	3978.99
DP085	2.88	1.68	5.08	234.26	161.51	355.28	866.11	347.30	1269.94	135.01	3.61	3382.66
DP086	4.63	1.26	5.41	319.80	138.43	376.98	1089.27	287.14	1257.73	123.78	1.76	3606.19
DP087	2.77	1.84	4.29	138.75	112.58	220.11	533.14	225.42	786.79	84.19	1.69	2111.56
DP090	5.54	14.42	10.66	394.64	153.69	634.54	1054.25	269.10	1663.09	178.46	3.19	4381.60
DP091	2.35	0.77	3.97	172.20	129.14	275.92	735.84	280.71	1110.85	120.66	0.66	2833.06
DP092	2.14	1.87	4.21	206.75	197.74	352.06	760.80	407.48	1304.15	132.48	1.69	3371.36
DP093	1.83	1.11	4.93	107.50	74.26	185.01	404.29	178.26	709.96	69.01	3.87	1740.03
DP094	1.13	2.65	2.19	116.97	146.08	174.92	360.52	222.64	643.22	72.27	10.31	1752.90
DP095	2.32	2.58	6.15	173.07	133.00	299.80	494.58	218.56	1083.51	126.80	1.93	2542.30
DP097	1.72	1.85	3.95	166.93	129.89	315.98	655.83	284.79	1130.89	113.02	2.95	2807.80
DP106	8.17	2.95	11.15	522.94	130.14	694.19	1738.06	259.50	2260.41	214.63	2.38	5844.52
DP111	4.60	2.46	7.83	402.25	259.29	569.82	1262.20	446.48	1633.82	166.99	2.87	4758.60
DP114	3.99	2.52	7.75	383.96	248.76	552.58	1203.87	437.21	1591.17	162.25	2.59	4596.67
DP117	3.91	1.37	4.98	211.37	185.39	312.21	710.33	391.30	1056.17	106.82	2.83	2986.67
DP120	4.00	2.03	6.05	369.21	207.52	506.90	1151.63	362.53	1685.09	177.43	3.47	4475.86
DP121	2.61	2.85	4.92	246.05	113.17	372.18	879.31	234.66	1275.47	134.84	1.88	3267.92
DP127	20.32	3.97	20.32	296.10	180.30	452.99	850.52	293.35	1257.70	118.86	5.23	3499.65
DP129	1.67	1.29	3.08	109.71	141.58	181.43	426.15	298.37	631.09	68.87	1.64	1864.88
DP131	3.10	2.39	4.32	365.27	159.19	431.65	1113.66	315.11	1436.76	144.02	1.58	3977.05
DP132	2.34	1.13	2.80	196.81	133.92	299.19	699.69	309.36	1072.33	109.23	0.90	2827.70
DP140	2.25	2.06	2.39	143.73	117.49	234.65	583.18	260.11	868.53	94.55	1.72	2310.67
DP152	4.30	2.73	6.40	256.23	237.85	367.20	794.92	444.64	1208.25	115.63	17.46	3455.63
DP172	9.17	2.52	11.03	163.37	95.74	266.11	615.28	218.77	1043.47	98.69	4.80	2528.98
DP178	5.72	3.84	7.79	92.14	54.47	240.00	415.19	127.00	1035.12	95.66	4.11	2081.04
DP179	2.06	3.20	2.27	74.66	36.05	150.00	378.26	95.58	743.61	75.50	0.00	1561.20
DP183	8.33	2.01	9.49	307.65	190.46	464.45	1007.96	393.25	1556.81	150.33	2.36	4093.10
DP184	5.15	2.23	5.28	227.42	126.33	289.73	849.22	259.53	1174.59	111.01	4.78	3055.28
DP190	3.17	2.25	4.59	105.18	82.82	227.24	378.88	188.32	918.52	88.64	2.40	2002.01
DP192	2.02	2.22	5.50	222.69	100.51	394.55	827.01	218.32	1344.14	139.66	1.21	3257.82
DP200	12.98	3.05	16.46	525.19	193.47	654.46	1318.07	382.17	1833.94	177.08	4.19	5121.07
Danbeak	2.26	1.37	2.73	91.68	69.20	136.37	447.03	165.13	567.52	57.73	1.50	1542.53
Deapoong	7.56	1.82	10.50	259.21	205.34	381.26	816.00	409.99	1144.86	112.04	3.09	3351.68
H1	6.32	1.03	16.62	87.98	50.94	219.08	314.73	96.65	747.15	71.25	0.95	1612.70
H10	5.76	0.90	11.64	73.88	49.65	137.14	276.90	95.95	464.32	46.81	0.97	1163.92
H11	6.16	0.96	12.46	78.36	44.21	126.72	278.08	82.35	413.35	42.17	0.95	1085.74
H12	14.76	1.30	26.61	120.65	116.47	206.44	407.05	207.90	620.26	64.89	4.14	1790.46
H13	3.27	0.75	5.45	47.39	44.94	72.54	197.29	86.04	229.07	25.00	1.25	712.98
H14	6.16	1.00	9.96	90.90	71.95	117.31	321.87	137.89	372.98	40.22	2.73	1172.97
H15	4.28	0.71	9.39	71.99	58.42	131.10	272.39	114.98	457.80	46.27	1.11	1168.44
H17	9.99	1.68	11.76	191.08	188.77	257.50	706.03	443.97	836.90	86.61	4.39	2738.69
H18	2.91	0.69	6.41	61.77	46.42	131.50	243.97	92.35	454.67	43.65	0.73	1085.06
H19	1.40	1.24	2.26	107.52	175.65	221.17	447.95	402.55	766.91	76.12	0.98	2203.75
H2	11.52	0.83	14.57	105.35	117.30	145.56	416.04	254.11	505.69	53.61	3.73	1628.33
H20	1.72	0.81	2.88	79.31	64.08	144.48	327.07	135.09	532.94	50.58	0.55	1339.51
H23	3.06	1.54	3.14	216.46	99.37	262.51	853.47	245.31	1007.82	100.11	1.07	2793.86
H24	6.54	0.83	13.74	83.04	62.34	151.09	271.63	117.62	472.77	46.18	1.36	1227.15
H25	5.27	0.69	10.95	77.47	56.77	119.16	264.88	114.84	361.27	36.25	1.17	1048.72
H25_165	1.71	0.96	2.26	104.72	80.33	154.07	477.68	213.39	609.19	62.17	1.31	1707.79
H25_78	1.43	1.24	2.59	115.67	84.23	183.30	471.94	180.50	674.12	66.00	1.31	1782.33
H27	9.55	1.32	10.91	162.52	134.53	165.63	507.51	269.02	497.80	50.40	4.30	1813.49
H28	7.33	1.78	15.63	120.56	75.06	213.72	437.49	145.70	745.50	75.13	2.23	1840.13
H29	6.64	1.32	13.51	114.70	63.47	198.50	390.36	121.15	668.24	66.02	1.51	1645.42
H3	9.46	2.18	13.05	207.91	282.53	338.89	721.17	535.40	1043.95	98.42	6.77	3259.73
H30	6.50	0.87	10.87	97.50	79.05	129.68	323.04	155.98	394.35	40.57	2.77	1241.18
H31	4.62	2.03	8.30	85.80	152.29	177.91	303.99	281.65	592.61	61.64	4.13	1674.97
H33	4.06	0.79	10.89	83.48	62.39	168.95	297.81	119.91	574.00	56.75	0.90	1379.93
H34	7.87	0.61	14.15	82.76	63.15	116.66	281.92	116.95	379.74	39.36	1.85	1105.03
H36	3.35	1.54	5.96	68.54	55.34	103.69	255.26	114.12	337.87	34.67	0.71	981.06
H37	10.91	1.59	13.89	217.65	78.85	279.49	747.62	162.97	1022.93	100.25	2.87	2639.01
H38	1.37	1.97	5.05	107.29	60.47	255.47	514.67	161.50	1068.88	109.57	0.72	2286.97
H39	6.20	1.20	16.78	100.08	72.20	233.40	349.29	142.26	793.69	73.79	1.17	1790.06
H4	7.83	0.93	10.33	118.45	82.85	115.34	396.89	175.48	335.45	35.91	2.74	1282.20
H40	3.31	0.86	6.75	99.44	79.18	194.70	361.91	148.73	666.46	62.69	0.86	1624.90
H41	1.09	1.65	2.52	65.93	31.37	128.40	280.78	71.92	556.34	53.16	0.57	1193.72
H42	3.00	0.81	4.95	133.16	72.73	173.82	543.54	157.87	678.26	66.91	0.93	1835.96
H43	1.52	1.05	1.00	51.07	44.85	152.11	237.18	73.57	663.40	62.34	0.57	1288.66
H44	1.91	1.79	1.79	150.82	136.11	202.52	606.33	324.25	768.97	80.69	1.94	2277.12
H45	3.30	0.77	5.02	113.70	91.41	146.44	416.90	186.06	509.79	48.30	1.11	1522.81
H46	12.03	0.75	19.02	96.08	103.33	152.86	358.77	209.73	484.73	48.81	3.39	1489.51
H47	5.68	0.60	9.40	91.76	63.90	135.48	294.96	118.13	419.58	39.35	1.46	1180.31
H49	4.20	0.33	9.76	48.64	40.11	62.30	177.22	79.86	172.84	20.68	1.41	617.35
H5	5.66	1.65	9.76	91.23	83.72	200.72	369.98	191.08	699.42	67.54	1.86	1722.63
H50	3.50	0.75	8.71	66.69	57.46	132.29	235.12	106.01	450.97	43.26	1.05	1105.81
H6	7.52	1.00	9.39	102.84	122.26	143.82	413.31	255.72	497.17	51.44	3.33	1607.81
H8	2.24	0.93	2.30	89.58	70.90	150.40	394.32	180.96	584.51	57.21	0.56	1533.92
H9	2.59	0.95	2.39	100.76	85.74	126.02	371.34	174.55	419.72	40.11	0.98	1325.16
Hwangeum	2.42	1.07	2.57	78.50	55.16	148.56	354.72	132.03	573.35	58.46	3.04	1409.87
JoseangSeori	3.39	3.15	4.05	114.63	129.60	231.00	487.09	262.34	884.71	89.75	2.92	2212.63
JoseangSeoriD1	8.86	4.34	3.25	102.57	40.75	143.79	359.79	85.64	627.65	63.24	0.00	1439.88
JoseangSeoriD2	3.11	5.19	1.19	47.14	64.68	90.37	187.06	137.58	388.16	39.26	0.00	963.72
JoseangSeorismall	11.52	3.04	9.82	185.81	92.91	342.49	600.73	173.86	1217.55	115.85	0.00	2753.57
KAS36022	21.46	14.07	15.15	217.17	55.93	246.56	213.62	52.15	250.58	23.25	2.11	1112.05
PD01	4.58	2.29	5.95	88.10	140.59	152.89	333.33	249.04	591.30	61.19	3.03	1632.27
PD02	4.55	4.36	4.58	127.26	91.73	133.06	438.79	157.30	525.14	51.73	4.41	1542.90
PD03	2.73	3.44	2.87	165.45	109.69	158.97	610.95	200.24	673.39	62.62	2.23	1992.59
PD04	6.78	5.73	4.35	217.55	129.86	169.00	796.12	268.81	726.77	68.28	5.29	2398.55
PD05	3.14	6.40	4.09	132.63	79.41	143.64	470.73	152.33	605.14	55.99	3.24	1656.74
PD06	5.11	2.79	6.88	147.33	96.41	175.88	491.34	148.27	721.35	66.76	2.75	1864.86
PD07	3.42	2.90	2.82	209.84	116.78	193.46	804.41	251.23	804.94	73.39	0.00	2463.19
PI01	3.14	1.62	3.44	150.74	158.33	197.24	688.76	329.54	826.52	78.79	1.35	2439.48
PI02	2.75	1.59	2.46	124.90	129.63	165.78	602.30	288.23	739.07	72.53	1.24	2130.48
PI03	2.45	1.99	2.45	131.18	164.62	215.35	637.04	391.97	828.99	87.37	2.52	2465.93
PI04	3.82	0.80	2.49	106.32	97.43	131.99	487.11	232.79	615.47	60.39	4.93	1743.54
PI05	4.44	5.03	5.98	76.10	77.73	123.10	327.04	174.53	550.27	56.13	0.00	1400.35
PI06	1.28	3.86	1.35	62.36	28.86	99.76	328.14	74.35	490.34	45.84	2.21	1138.32
PI07	1.81	1.54	2.39	81.58	69.92	133.84	387.71	165.90	668.36	68.54	4.25	1585.83
Paldal	11.01	15.47	13.28	422.50	108.07	506.95	1077.86	185.95	1336.29	143.55	2.47	3823.42
Ru4	1.18	1.99	4.43	42.85	76.46	112.29	180.78	131.67	486.08	47.90	0.00	1085.61
Wonhyun	24.01	31.53	44.04	354.67	110.49	822.62	375.88	101.16	895.30	83.68	0.00	2843.38
Wonyeul	5.87	4.83	6.04	211.52	68.67	300.99	697.35	152.98	1153.98	104.24	3.96	2710.43
